Workflow_ID,Process_Name,Task_ID,Task_Type,Priority_Level,Department,Assigned_Employee_ID,Task_Start_Time,Task_End_Time,Estimated_Time_Minutes,Actual_Time_Minutes,Delay_Flag,Approval_Level,Employee_Workload,Cost_Per_Task
WF_1,Customer Complaint,TASK_1,Review,Low,Customer Service,EMP_128,2024-01-25 04:47:00,2024-01-25 08:33:00,208,226,1,Level 1,1,155.17
WF_2,HR Onboarding,TASK_2,Approval,Low,HR,EMP_35,2024-05-24 02:57:00,2024-05-24 06:19:00,194,202,1,Level 2,5,231.54
WF_3,Invoice Approval,TASK_3,Review,High,Finance,EMP_88,2024-03-22 03:34:00,2024-03-22 08:51:00,214,317,1,Level 1,8,280.95
WF_4,Customer Complaint,TASK_4,Review,Medium,Operations,EMP_133,2024-06-10 10:37:00,2024-06-10 13:36:00,176,179,1,Level 3,1,413.74
WF_5,Customer Complaint,TASK_5,Escalation,Medium,Finance,EMP_80,2024-07-02 11:38:00,2024-07-02 15:36:00,197,238,1,Level 3,3,152.3
WF_6,Customer Complaint,TASK_6,Validation,Low,Operations,EMP_61,2024-05-23 11:14:00,2024-05-23 15:01:00,199,227,1,Level 2,5,160.06
WF_7,Purchase Order,TASK_7,Escalation,Medium,Customer Service,EMP_55,2024-06-27 21:21:00,2024-06-27 23:14:00,84,113,1,Level 3,6,440.88
WF_8,Purchase Order,TASK_8,Data Entry,Low,IT,EMP_42,2024-08-13 07:44:00,2024-08-13 11:45:00,204,241,1,Level 1,4,406.61
WF_9,Purchase Order,TASK_9,Escalation,Low,Customer Service,EMP_21,2024-12-27 21:26:00,2024-12-28 00:22:00,59,176,1,Level 3,2,180.92
WF_10,IT Support Ticket,TASK_10,Approval,High,Operations,EMP_2,2024-06-17 01:14:00,2024-06-17 02:37:00,23,83,1,Level 3,1,313.09
WF_11,Customer Complaint,TASK_11,Approval,Medium,Finance,EMP_140,2024-07-15 01:41:00,2024-07-15 05:45:00,235,244,1,Level 2,9,290.34
WF_12,HR Onboarding,TASK_12,Approval,Medium,Finance,EMP_133,2024-04-19 21:58:00,2024-04-20 00:48:00,167,170,1,Level 1,3,428.89
WF_13,IT Support Ticket,TASK_13,Escalation,Medium,HR,EMP_22,2024-03-19 08:52:00,2024-03-19 10:57:00,103,125,1,Level 1,5,386.51
WF_14,HR Onboarding,TASK_14,Escalation,Low,HR,EMP_102,2024-03-29 03:06:00,2024-03-29 08:52:00,229,346,1,Level 2,3,138.07
WF_15,Purchase Order,TASK_15,Escalation,Medium,Operations,EMP_51,2024-12-04 21:57:00,2024-12-05 01:18:00,133,201,1,Level 1,10,144.8
WF_16,Invoice Approval,TASK_16,Review,High,IT,EMP_143,2024-10-22 00:16:00,2024-10-22 02:35:00,65,139,1,Level 2,4,487.35
WF_17,Purchase Order,TASK_17,Escalation,Critical,Operations,EMP_88,2024-12-27 07:57:00,2024-12-27 10:06:00,81,129,1,Level 2,4,192.46
WF_18,Invoice Approval,TASK_18,Approval,High,Operations,EMP_59,2024-08-23 13:17:00,2024-08-23 15:46:00,105,149,1,Level 1,9,427.43
WF_19,HR Onboarding,TASK_19,Validation,Medium,Customer Service,EMP_120,2024-01-15 13:57:00,2024-01-15 14:32:00,24,35,1,Level 2,6,273.65
WF_20,Purchase Order,TASK_20,Review,Low,HR,EMP_108,2024-12-05 02:37:00,2024-12-05 05:26:00,160,169,1,Level 2,5,109.32
WF_21,Invoice Approval,TASK_21,Review,Medium,IT,EMP_114,2024-03-06 14:06:00,2024-03-06 19:24:00,233,318,1,Level 2,5,335.36
WF_22,Customer Complaint,TASK_22,Data Entry,High,IT,EMP_58,2024-03-02 22:25:00,2024-03-03 04:07:00,236,342,1,Level 3,10,245.28
WF_23,Invoice Approval,TASK_23,Approval,Critical,Customer Service,EMP_30,2024-04-26 14:39:00,2024-04-26 18:00:00,94,201,1,Level 3,6,237.15
WF_24,Customer Complaint,TASK_24,Validation,Low,IT,EMP_80,2024-04-21 14:27:00,2024-04-21 18:40:00,206,253,1,Level 3,5,469.47
WF_25,Purchase Order,TASK_25,Validation,Critical,HR,EMP_1,2024-04-11 19:55:00,2024-04-11 22:16:00,25,141,1,Level 1,4,196.04
WF_26,HR Onboarding,TASK_26,Review,Medium,Operations,EMP_56,2024-08-29 06:53:00,2024-08-29 09:47:00,62,174,1,Level 3,5,202.24
WF_27,Invoice Approval,TASK_27,Review,Low,IT,EMP_9,2024-05-07 19:33:00,2024-05-08 00:44:00,200,311,1,Level 2,7,53.42
WF_28,Invoice Approval,TASK_28,Review,High,Finance,EMP_92,2024-11-13 23:49:00,2024-11-14 00:44:00,28,55,1,Level 2,8,341.32
